name,mail,main,job,gender,check
峯林愛,megumi.minebayashi@petabit.co.jp,おはよう。,営業,F,on
峯林光,hikari.minebayashi@petabit.co.jp,こんにちは。,SE,F,on
峯林聖,satoshi.minebayashi@petabit.co.jp,こんばんは。,SE,M,on
峯林裕子,yuko.minebayashi@petabit.co.jp,はじめまして。,営業,F,on
峯林裕子,yuko.minebayashi@petabit.co.jp,はじめまして。,営業,F,on
峯林裕子,yuko.minebayashi@petabit.co.jp,はじめまして。,営業,F,on
峯林裕子,yuko.minebayashi@petabit.co.jp,はじめまして。,営業,F,on
田中,hikari.minebayashi@petabit.co.jp,おはよう。,SE,M,on
峯林光,hikari.minebayashi@petabit.co.jp,おはよう。,SE,F,on
,,,,,
,,,,,
,,,,,
みねばやし　ひかり,hikari.minebayashi@petabit.co.jp,こんにちは,SE,F,on
小林,hikari.minebayashi@petabit.co.jp,こんにちは,SE,M,on
